CARTERA;COLOC_TOTAL;CART_VENCIDA;INS_COD;PERIODO;INDICADOR_CARTERA_VENCIDA
Adeudado por bancos;235991,0000000000;0,00000000;1;202305;0,00000000000000e+00
Colocaciones comerciales;19950277,0000000000;144512,00000000;1;202305;7,24360869776395e-01
Colocaciones para vivienda;11771671,0000000000;66048,00000000;1;202305;5,61075823474849e-01
Colocaciones de consumo;5191981,0000000000;38845,00000000;1;202305;7,48172999862673e-01
TOTAL:;37149920,0000000000;249405,00000000;1;202305;6,71347340721057e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;36913929,0000000000;249405,00000000;1;202305;6,75639268851603e-01
Colocaciones a personas - subtotal:;16963652,0000000000;104893,00000000;1;202305;6,18339730147730e-01
Adeudado por bancos;0,0000000000;0,00000000;9;202305;NA
Colocaciones comerciales;2818431,0000000000;15369,00000000;9;202305;5,45303397528625e-01
Colocaciones para vivienda;79653,0000000000;66,00000000;9;202305;8,28594026590336e-02
Colocaciones de consumo;30625,0000000000;4,00000000;9;202305;1,30612244897959e-02
TOTAL:;2928709,0000000000;15439,00000000;9;202305;5,27160602162933e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;2928709,0000000000;15439,00000000;9;202305;5,27160602162933e-01
Colocaciones a personas - subtotal:;110278,0000000000;70,00000000;9;202305;6,34759426177479e-02
Adeudado por bancos;788354,0000000000;0,00000000;12;202305;0,00000000000000e+00
Colocaciones comerciales;17191810,0000000000;304274,00000000;12;202305;1,76987763359414e+00
Colocaciones para vivienda;13760787,0000000000;102096,00000000;12;202305;7,41934309425762e-01
Colocaciones de consumo;2520058,0000000000;21427,00000000;12;202305;8,50258208342824e-01
TOTAL:;34261009,0000000000;427797,00000000;12;202305;1,24864098427457e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;33472655,0000000000;427797,00000000;12;202305;1,27804920165431e+00
Colocaciones a personas - subtotal:;16280845,0000000000;123523,00000000;12;202305;7,58701406468767e-01
Adeudado por bancos;33178,8918802000;0,00000000;14;202305;0,00000000000000e+00
Colocaciones comerciales;16425528,6579047311;106868,55271887;14;202305;6,50624737532815e-01
Colocaciones para vivienda;13833668,1113354396;5739,80701500;14;202305;4,14915767011697e-02
Colocaciones de consumo;2167684,1285497602;17086,56679200;14;202305;7,88240618961001e-01
TOTAL:;32460059,7896701321;129694,92652587;14;202305;3,99552334056831e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;32426880,8977899328;129694,92652587;14;202305;3,99961152399056e-01
Colocaciones a personas - subtotal:;16001352,2398851998;22826,37380700;14;202305;1,42652779995072e-01
Adeudado por bancos;381174,0000000000;0,00000000;16;202305;0,00000000000000e+00
Colocaciones comerciales;17291817,0000000000;207649,00000000;16;202305;1,20085124657519e+00
Colocaciones para vivienda;10202444,0000000000;4507,00000000;16;202305;4,41756896680835e-02
Colocaciones de consumo;2714357,0000000000;45964,00000000;16;202305;1,69336605317576e+00
TOTAL:;30589792,0000000000;258120,00000000;16;202305;8,43810902669753e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;30208618,0000000000;258120,00000000;16;202305;8,54458154954325e-01
Colocaciones a personas - subtotal:;12916801,0000000000;50471,00000000;16;202305;3,90739162119166e-01
Adeudado por bancos;0,0000000000;0,00000000;28;202305;NA
Colocaciones comerciales;5943621,0000000000;34910,00000000;28;202305;5,87352390066594e-01
Colocaciones para vivienda;1734483,0000000000;274,00000000;28;202305;1,57972145013817e-02
Colocaciones de consumo;245924,0000000000;838,00000000;28;202305;3,40755680616776e-01
TOTAL:;7924028,0000000000;36022,00000000;28;202305;4,54592033243699e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;7924028,0000000000;36022,00000000;28;202305;4,54592033243699e-01
Colocaciones a personas - subtotal:;1980407,0000000000;1112,00000000;28;202305;5,61500742019191e-02
Adeudado por bancos;28993,4060370000;0,00000000;31;202305;0,00000000000000e+00
Colocaciones comerciales;240665,8428400000;0,00000000;31;202305;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;31;202305;NA
Colocaciones de consumo;21,6312730000;0,00000000;31;202305;0,00000000000000e+00
TOTAL:;269680,8801500000;0,00000000;31;202305;0,00000000000000e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;240687,4741130000;0,00000000;31;202305;0,00000000000000e+00
Colocaciones a personas - subtotal:;21,6312730000;0,00000000;31;202305;0,00000000000000e+00
Adeudado por bancos;25,0000000000;NA;37;202305;NA
Colocaciones comerciales;18339161,0000000000;308520,00000000;37;202305;1,68230160583682e+00
Colocaciones para vivienda;16333881,0000000000;43273,00000000;37;202305;2,64927851500816e-01
Colocaciones de consumo;4601907,0000000000;12130,00000000;37;202305;2,63586378429638e-01
TOTAL:;39274974,0000000000;363923,00000000;37;202305;9,26602777636466e-01
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;39274949,0000000000;363923,00000000;37;202305;9,26603367454405e-01
Colocaciones a personas - subtotal:;20935788,0000000000;55403,00000000;37;202305;2,64632981572034e-01
Adeudado por bancos:;83489,1320420000;0,00000000;39;202305;0,00000000000000e+00
Colocaciones comerciales:;13152852,0035089999;218145,00000000;39;202305;1,65853763078762e+00
Colocaciones para vivienda:;6551184,5827070000;23124,00000000;39;202305;3,52974331711548e-01
Colocaciones de consumo:;2435827,6754720001;33064,00000000;39;202305;1,35740308450158e+00
TOTAL:;22223353,3937299997;274333,00000000;39;202305;1,23443566386970e+00
Créditos y cuentas por cobrar a clientes (sin provisiones) - subtotal:;22139864,2616879977;274333,00000000;39;202305;1,23909070424935e+00
Colocaciones a personas - subtotal:;8987012,2581789996;56188,00000000;39;202305;6,25213345501602e-01
Adeudado por bancos;0,0000000000;0,00000000;41;202305;NA
Colocaciones comerciales;20862,5245544975;0,00000000;41;202305;0,00000000000000e+00
Colocaciones para vivienda;0,0000000000;0,00000000;41;202305;NA
Colocaciones de consumo;0,0000000000;0,00000000;41;202305;NA
TOTAL:;20862,5245544975;0,00000000;41;202305;0,00000000000000e+00
